Updated at,Company,Crunchbase Url,Last Valuation (Billion $),Date Joined,Year Joined,City,Country,Industry,Investors,Company Website
"6/1/2023, 2:10:56 AM",BeZero,https://www.cbinsights.com/company/bezero-carbon,2,11/14/2022,2022,London,United Kingdom,Other,"[""Molten Ventures"",""Contrarian Ventures"",""Illuminate Ventures""]",
"6/1/2023, 2:10:56 AM",Babel Finance,https://www.cbinsights.com/company/babelbankio,2,5/25/2022,2022,Hong Kong,Hong Kong,Fintech,"[""Dragonfly Capital"",""BAI Capital"",""10T Fund""]",
"6/1/2023, 2:10:56 AM",Viva Wallet,https://www.cbinsights.com/company/viva-wallet,2.05,12/17/2022,2022,Athens,Greece,Fintech,"[""Breyer Capital"",""Hedosophia""]",
"6/1/2023, 2:10:55 AM",Jeeves,https://www.cbinsights.com/company/jeeves,2.1,3/14/2022,2022,Orlando,United States,Fintech,"[""Tencent Holdings"",""CRV"",""Clocktower Technology Ventures""]",
"6/1/2023, 2:10:55 AM",GoCardless,https://www.cbinsights.com/company/gocardless,2.1,2/8/2022,2022,London,United Kingdom,Fintech,"[""Accel"",""Passion Capital"",""Balderton Capital""]",
"6/1/2023, 2:10:53 AM",Accelerant,https://www.cbinsights.com/company/accelerant,2.19,1/12/2022,2022,Colchester,United Kingdom,Other,"[""Deer Park Road"",""Altamont Capital Partners"",""Eldridge""]",
"6/1/2023, 2:10:52 AM",BloomReach,https://www.cbinsights.com/company/bloomreach,2.2,2/23/2022,2022,Mountain View,United States,Artificial intelligence,"[""Bain Capital Ventures"",""Sixth Street Growth"",""Lightspeed Venture Partners""]",
"6/1/2023, 2:10:52 AM",G7 Networks,https://www.cbinsights.com/company/g7,2.2,2/15/2022,2022,Beijing,China,"Supply chain, logistics, & delivery","[""Eastern Bell Capital 32"",""SDIC CMC Investment Management"",""Trustbridge Partners""]",
"6/1/2023, 2:10:50 AM",Newfront Insurance,https://www.cbinsights.com/company/abe,2.2,4/12/2022,2022,San Francisco,United States,Fintech,"[""Founders Fund"",""Meritech Capital Partners"",""GS Growth""]",
"6/1/2023, 2:10:47 AM",Beta Technologies,https://www.cbinsights.com/company/beta-technologies,2.4,4/19/2022,2022,South Burlington,United States,Other,"[""The Rise Fund"",""Fidelity Investments. RedBird Capital Partners""]",
"6/1/2023, 2:10:44 AM",Coda Payments,https://www.cbinsights.com/company/coda-payments,2.5,4/15/2022,2022,,Singapore,Fintech,"[""GIC. Apis Partners"",""Insight Partners""]",
"6/1/2023, 2:10:43 AM",Games24x7,https://www.cbinsights.com/company/games24x7,2.5,3/30/2022,2022,Mumbai,India,Internet software & services,"[""Tiger Global Management"",""The Raine Group"",""Malabar Investments""]",
"6/1/2023, 2:10:43 AM",SiFive,https://www.cbinsights.com/company/sifive,2.5,3/16/2022,2022,San Mateo,United States,Hardware,"[""Sutter Hill Ventures"",""Osage University Partners"",""Spark Capital""]",
"6/1/2023, 2:10:43 AM",A24 Films,https://www.cbinsights.com/company/a24-films,2.5,3/9/2022,2022,New York,United States,Other,"[""Stripes Group"",""Neuberger Berman""]",
"6/1/2023, 2:10:43 AM",Immutable,https://www.cbinsights.com/company/fuel-bros,2.5,3/7/2022,2022,Sydney,Australia,Fintech,"[""Fabric Ventures"",""AirTree Ventures"",""Temasek""]",
"6/1/2023, 2:10:43 AM",Somatus,https://www.cbinsights.com/company/somatus,2.5,2/23/2022,2022,McLean,United States,Health,"[""The Blue Venture Fund"",""Flare Capital Partners"",""Longitude Capital""]",
"6/1/2023, 2:10:43 AM",Uniphore,https://www.cbinsights.com/company/uniphore-software-systems,2.5,2/16/2022,2022,Palo Alto,United States,Artificial Intelligence,"[""Chiratae Ventures"",""March Capital Partners"",""National Grid Partners""]",
"6/1/2023, 2:10:40 AM",Jetti Resources,https://www.cbinsights.com/company/jetti-resources,2.5,10/24/2022,2022,Boulder,United States,Other,"[""BMW i Ventures"",""BHP Ventures""]",
"6/1/2023, 2:10:40 AM",Oura,https://www.cbinsights.com/company/oura,2.55,4/5/2022,2022,Oulu,Finland,Health,"[""Forerunner Ventures"",""Lifeline Ventures"",""MSD Capital""]",
"6/1/2023, 2:10:38 AM",BackBase,https://www.cbinsights.com/company/backbase,2.66,6/9/2022,2022,Amsterdam,Netherlands,Fintech,"[""Motive Partners""]",
"6/1/2023, 2:10:38 AM",Tridge,https://www.cbinsights.com/company/tridge,2.7,8/24/2022,2022,Seoul,South Korea,Internet software & services,"[""Forest Partners"",""Softbank Ventures Asia""]",
"6/1/2023, 2:10:37 AM",Hozon Auto,https://www.cbinsights.com/company/hozon-technology,3.95,2/22/2022,2022,Shanghai,China,Auto & transportation,"[""HD Capital"",""Qihoo 360 Technology"",""China Fortune Land Development""]",
"6/1/2023, 2:10:36 AM",Nutrabolt,https://www.cbinsights.com/company/nutrabolt,2.79,12/8/2022,2022,Austin,United States,Consumer & retail,"[""MidOcean Partners""]",
"6/1/2023, 2:10:35 AM",Gokin Solar,https://www.cbinsights.com/company/gokinsolar,2.88,4/13/2022,2022,Zhuhai,China,Other,"[""IDG Capital"",""Puluo Capital"",""Midea Capital""]",
"6/1/2023, 2:10:33 AM",Cross River Bank,https://www.cbinsights.com/company/cross-river-bank,3,2/11/2022,2022,Fort Lee,United States,Fintech,"[""Battery Ventures"",""Andreessen Horowitz"",""Ribbit Capital""]",
"6/1/2023, 2:10:33 AM",Inxeption,https://www.cbinsights.com/company/inxeption,3,1/13/2022,2022,San Francisco,United States,Fintech,"[""Coatue Management"",""BMO Capital"",""Schonfeld Strategic Advisors""]",
"6/1/2023, 2:10:27 AM",LayerZero Labs,https://www.cbinsights.com/company/layerzero,3,3/30/2022,2022,New York,United States,Internet software & services,"[""Andreessen Horowitz"",""FTX Ventures"",""Tiger Global Management""]",
"6/1/2023, 2:10:26 AM",Eikon Therapeutics,https://www.cbinsights.com/company/eikon-therapeutics,3.2,1/6/2022,2022,Hayward,United States,Health,"[""The Column Group"",""Foresite Capital"",""Foresite Capital""]",
"6/1/2023, 2:10:26 AM",Ironclad,https://www.cbinsights.com/company/ironclad,3.2,1/18/2022,2022,Sacramento,United States,Internet software & services,"[""Accel"",""Sequoia Capital"",""Y Combinator""]",
"6/1/2023, 2:10:24 AM",Astera Labs,https://www.cbinsights.com/company/astera-labs,3.2,11/17/2022,2022,Santa Clara,United States,Hardware,"[""Intel Capital"",""Sutter Hill Ventures"",""VentureTech""]",
"6/1/2023, 2:10:17 AM",Autograph,https://www.cbinsights.com/company/autograph-1,3.66,1/20/2022,2022,Santa Monica,United States,Internet software & services,"[""01 Advisors. Kleiner Perkins Caufield & Byers. Andreessen Horowitz""]",
"6/1/2023, 2:10:12 AM",Abnormal Security,https://www.cbinsights.com/company/abnormal-security,4,5/10/2022,2022,San Francisco,United States,Cybersecurity,"[""Greylock Partners"",""Insight Partners,Menlo Ventures""]",
"6/1/2023, 2:10:12 AM",Yuga Labs,https://www.cbinsights.com/company/bored-ape-yacht-club,4,3/22/2022,2022,Miami,United States,Internet software & services,"[""Andreessen Horowitz"",""Thrive Capital"",""Sound Ventures""]",
"6/1/2023, 2:10:05 AM",Globalization Partners,https://www.cbinsights.com/company/globalization-partners,4.2,1/24/2022,2022,Boston,United States,Internet software & services,"[""Vista Equity Partners"",""Wincove"",""TDR Capital""]",
"6/1/2023, 2:10:01 AM",SonarSource,https://www.cbinsights.com/company/sonarsource,4.7,4/26/2022,2022,Geneva,Switzerland,Internet software & services,"[""Advent International,General Catalyst,Insight Partners""]",
"6/1/2023, 2:09:58 AM",Qonto,https://www.cbinsights.com/company/qonto,5,1/11/2022,2022,Paris,France,Fintech,"[""Alven Capital"",""Valar Ventures"",""Tencent Holdings""]",
"6/1/2023, 2:09:54 AM",The Boring Company,https://www.cbinsights.com/company/the-boring-company,5.7,4/20/2022,2022,Pflugerville,United States,Other,"[""VY Capital"",""8VC"",""Craft Ventures""]",
"6/1/2023, 2:09:53 AM",RELEX,https://www.cbinsights.com/company/relex-solutions,5.7,2/17/2022,2022,Helsinki,Finland,"Supply chain, logistics, & delivery","[""Blackstone"",""Technology Crossover Ventures"",""Summit Partners""]",
"6/1/2023, 2:09:35 AM",KuCoin,https://www.cbinsights.com/company/kucoin,10,5/10/2022,2022,Victoria,Seychelles,Fintech,"[""IDG Capital"",""Matrix Partners China"",""Jump Crypto""]",
"6/1/2023, 2:09:25 AM",Miro,https://www.cbinsights.com/company/realtimeboard,17.5,1/5/2022,2022,San Francisco,United States,Internet software & services,"[""Accel"",""AltaIR Capital"",""Technology Crossover Ventures""]",
"6/1/2023, 2:11:21 AM",DataStax,https://www.cbinsights.com/company/datastax,1.6,5/26/2021	,2021	,Santa Clara,United States,Data management & analytics,"[""Crosslink Capital"",""Meritech Capital Partners"",""Lightspeed Venture Partners""]",
"6/1/2023, 2:11:21 AM",Solaris,https://www.cbinsights.com/company/solarisbank,1.65,7/13/2021	,2021	,Berlin,Germany,Fintech,"[""Yabeo Capital"",""SBI Investment"",""Vulcan Capital""]",
"6/1/2023, 2:10:04 AM",Sorare,https://www.cbinsights.com/company/sorare,4.3,9/21/2021	,2021	,Paris,France,Internet software & services,"[""Benchmark"",""Accel"",""SoftBank Group""]",
"6/1/2023, 2:13:01 AM",ONE,https://www.cbinsights.com/company/one-championship,1,12/8/2021,2021,,Singapore,Internet software & services,"[""Temasek"",""Guggenheim Investments"",""Qatar Investment Authority""]",
"6/1/2023, 2:13:01 AM",InFarm,https://www.cbinsights.com/company/infarm,1,12/16/2021,2021,Berlin,Germany,Other,"[""Atomico"",""Hanaco Venture Capital"",""TriplePoint Capital""]",
"6/1/2023, 2:13:01 AM",Kopi Kenangan,https://www.cbinsights.com/company/kopi-kenangan,1,12/27/2021,2021,Jakarta,Indonesia,Consumer & retail,"[""Horizons Ventures"",""Sequoia Capital India"",""Alpha JWC Ventures""]",
"6/1/2023, 2:13:01 AM",Haomo.AI,https://www.cbinsights.com/company/maomo-zhixing,1,12/22/2021,2021,Beijing,China,Artificial Intelligence,"[""Qualcomm Ventures"",""Nine Intelligence Capital"",""Hillhouse Capital Management""]",
"6/1/2023, 2:13:01 AM",VOI,https://www.cbinsights.com/company/voi-technology,1,12/21/2021,2021,Stockholm,Sweden,Travel,"[""Vostok New Ventures"",""The Raine Group"",""Balderton Capital""]",
"6/1/2023, 2:13:01 AM",Rothy's,https://www.cbinsights.com/company/rothys,1,12/21/2021,2021,San Francisco,United States,Consumer & retail,"[""Alpargatas"",""GS Growth"",""Lightspeed Venture Partners""]",
"6/1/2023, 2:13:00 AM",Noname Security,https://www.cbinsights.com/company/noname-security,1,12/15/2021,2021,Palo Alto,United States,Cybersecurity,"[""Insight Partners"",""Lightspeed Venture Partners"",""CyberStarts""]",
"6/1/2023, 2:13:00 AM",Cadence,https://www.cbinsights.com/company/cadence-4,1,12/14/2021,2021,New York,United States,Health,"[""Thrive Capital"",""General Catalyst"",""Coatue Management""]",
"6/1/2023, 2:13:00 AM",SnapLogic,https://www.cbinsights.com/company/snaplogic,1,12/13/2021,2021,San Mateo,United States,Internet software & services,"[""Andreessen Horowitz"",""Triangle Peak Partners"",""Ignition Partners""]",
"6/1/2023, 2:13:00 AM",SellerX,https://www.cbinsights.com/company/sellerx,1,12/9/2021,2021,Berlin,Germany,E-commerce & direct-to-consumer,"[""Cherry Ventures"",""Felix Capital"",""83North""]",
"6/1/2023, 2:13:00 AM",Lydia,https://www.cbinsights.com/company/lydia,1,12/8/2021,2021,Paris,France,Fintech,"[""NewAlpha"",""XAnge Private Equity"",""Tencent Holdings""]",
"6/1/2023, 2:13:00 AM",Nature's Fynd,https://www.cbinsights.com/company/sustainable-bioproducts,1,7/19/2021,2021,Chicago,United States,Consumer & retail,"[""Danone Manifesto Ventures"",""1955 Capital"",""Breakthrough Energy Ventures""]",
"6/1/2023, 2:13:00 AM",Pet Circle,https://www.cbinsights.com/company/paws-for-life,1,12/6/2021,2021,Alexandria,Australia,E-commerce & direct-to-consumer,"[""Prysm Capital"",""Baillie Gifford & Co."",""TDM Growth Partners""]",
"6/1/2023, 2:12:59 AM",ReliaQuest,https://www.cbinsights.com/company/reliaquest,1,12/1/2021,2021,Tampa,United States,Cybersecurity,"[""KKR"",""FTV Capital"",""Ten Eleven Ventures""]",
"6/1/2023, 2:12:59 AM",Iodine Software,https://www.cbinsights.com/company/iodine-software,1,12/1/2021,2021,Austin,United States,Data management & analytics,"[""Advent International"",""Bain Capital Ventures"",""Silversmith Capital Partners""]",
"6/1/2023, 2:12:59 AM",Anyscale,https://www.cbinsights.com/company/anyscale,1,12/7/2021,2021,Berkeley,United States,Artificial Intelligence,"[""Andreessen Horowitz"",""Intel Capital"",""Foundation Capital""]",
"6/1/2023, 2:12:59 AM",YipitData,https://www.cbinsights.com/company/yipit,1,12/6/2021,2021,New York,United States,Internet software & services,"[""RRE Ventures+"",""Highland Capital Partners"",""The Carlyle Group""]",
"6/1/2023, 2:12:59 AM",Clara,https://www.cbinsights.com/company/clara-2,1,12/6/2021,2021,Mexico City,Mexico,Fintech,"[""DST Global"",""General Catalyst"",""Monashees+""]",
"6/1/2023, 2:12:59 AM",Lessen,https://www.cbinsights.com/company/lessen,1,11/30/2021,2021,Scottsdale,United States,Internet software & services,"[""Khosla Ventures"",""General Catalyst"",""Navitas Capital""]",
"6/1/2023, 2:12:58 AM",NoBroker,https://www.cbinsights.com/company/nobroker,1,11/23/2021,2021,Bengaluru,India,Internet software & services,"[""General Atlantic"",""Elevation Capital"",""BEENEXT""]",
"6/1/2023, 2:12:58 AM",Expel,https://www.cbinsights.com/company/expel,1,11/18/2021,2021,Herndon,United States,Cybersecurity,"[""Paladin Capital Group"",""Greycroft"",""Scale Venture Partners""]",
"6/1/2023, 2:12:58 AM",Owkin,https://www.cbinsights.com/company/owkin,1,11/18/2021,2021,New York,United States,Artificial Intelligence,"[""Google Ventures"",""Cathay Innovation"",""NJF Capital""]",
"6/1/2023, 2:12:58 AM",Stytch,https://www.cbinsights.com/company/stytch,1,11/18/2021,2021,San Francisco,United States,Cybersecurity,"[""Index Ventures"",""Benchmark"",""Thrive Capital""]",
"6/1/2023, 2:12:58 AM",PLACE,https://www.cbinsights.com/company/place,1,11/17/2021,2021,Bellingham,United States,Internet software & services,"[""Goldman Sachs Asset Management"",""3L""]",
"6/1/2023, 2:12:58 AM",Heyday,https://www.cbinsights.com/company/heyday-1,1,11/16/2021,2021,Chicago,United States,E-commerce & direct-to-consumer,"[""Khosla Ventures,General Catalyst"",""Victory Park Capital""]",
"6/1/2023, 2:12:58 AM",Mensa Brands,https://www.cbinsights.com/company/mensa-brands,1,11/16/2021,2021,Bengaluru,India,Other,"[""Accel"",""Falcon Edge Capital"",""Norwest Venture Partners""]",
"6/1/2023, 2:12:58 AM",Gaussian Robotics,https://www.cbinsights.com/company/gaussian-robotics,1.1,11/10/2021,2021,Shanghai,China,Hardware,"[""BlueRun Ventures"",""Grand Flight Investment"",""Meituan Dianping""]",
"6/1/2023, 2:12:57 AM",Wrapbook,https://www.cbinsights.com/company/wrapbook,1,11/10/2021,2021,New York,United States,Fintech,"[""Equal Ventures"",""Uncork Capital"",""Andreessen Horowitz""]",
"6/1/2023, 2:12:57 AM",Contrast Security,https://www.cbinsights.com/company/contrast-security,1,11/9/2021,2021,Los Altos,United States,Cybersecurity,"[""Acero Capital"",""General Catalyst"",""M12""]",
"6/1/2023, 2:12:57 AM",IGAWorks,https://www.cbinsights.com/company/igaworks,1,11/8/2021,2021,Seoul,South Korea,Internet software & services,"[""Korea Investment Private Equity"",""Atinum Investment"",""Korea Investment Partners""]",
"6/1/2023, 2:12:57 AM",Razor,https://www.cbinsights.com/company/razor-1,1,11/8/2021,2021,Berlin,Germany,Consumer & retail,"[""Global Founders Capital"",""468 Capital"",""Redalpine Venture Partners""]",
"6/1/2023, 2:12:57 AM",Vagaro,https://www.cbinsights.com/company/vagaro,1,11/3/2021,2021,Dublin,United States,Internet software & services,"[""FTV Capital""]",
"6/1/2023, 2:12:57 AM",Tezign,https://www.cbinsights.com/company/tezign,1,11/2/2021,2021,Shanghai,China,Internet software & services,"[""Sequoia Capital China"",""Linear Venture"",""Hearst Ventures""]",
"6/1/2023, 2:12:57 AM",Moka,https://www.cbinsights.com/company/moka-1,1,11/2/2021,2021,Beijing,China,Internet software & services,"[""GGV Capital"",""GSR Ventures"",""FreesFund""]",
"6/1/2023, 2:12:56 AM",Augury,https://www.cbinsights.com/company/augury-systems,1,10/26/2021,2021,New York,United States,Artificial intelligence,"[""Lerer Hippeau"",""Munich Re Ventures"",""Eclipse Ventures""]",
"6/1/2023, 2:12:56 AM",Fabric,https://www.cbinsights.com/company/commonsense,1,10/26/2021,2021,New York,United States,"Supply chain, logistics, & delivery","[""Innovation Endeavors"",""Aleph"",""Temasek""]",
"6/1/2023, 2:12:56 AM",CargoX,https://www.cbinsights.com/company/cargox,1,10/21/2021,2021,Sao Paulo,Brazil,"Supply chain, logistics, & delivery","[""Valor Capital Group"",""Lightrock"",""Softbank Group""]",
"6/1/2023, 2:12:56 AM",Dental Monitoring,https://www.cbinsights.com/company/dental-monitoring,1,10/21/2021,2021,Paris,France,Health,"[""Vitruvian Partners"",""Merieux Equity Partners"",""Straumann""]",
